"통화명","매매기준율","현찰","송금","미화환산율","",
"사실 때 ","파실 때 ","보내실 때 ","받으실 때","",,
"미국 USD ","1,184.90","1,205.63","1,164.17","1,196.50","1,173.30","1.000"
"유럽연합 EUR ","1,305.35","1,331.32","1,279.38","1,318.40","1,292.30","1.102"
"일본 JPY (100엔) ","1,087.91","1,106.94","1,068.88","1,098.57","1,077.25","0.918"
"중국 CNY ","169.60","178.08","161.12","171.29","167.91","0.143"
"홍콩 HKD ","152.54","155.54","149.54","154.06","151.02","0.129"
"대만 TWD ","39.09","44.21","36.36","0.00","0.00","0.033"
"영국 GBP ","1,542.33","1,572.71","1,511.95","1,557.75","1,526.91","1.302"
"오만 OMR ","3,077.66","3,351.57","2,893.01","0.00","0.00","2.597"
"캐나다 CAD ","897.48","915.16","879.80","906.45","888.51","0.757"
"스위스 CHF ","1,218.59","1,242.59","1,194.59","1,230.77","1,206.41","1.028"
"스웨덴 SEK ","123.11","126.12","120.10","124.34","121.88","0.104"
"호주 AUD ","798.39","814.11","782.67","806.37","790.41","0.674"
"뉴질랜드 NZD ","771.55","786.74","756.36","779.26","763.84","0.651"
"체코 CZK ","51.67","56.06","47.02","52.23","51.11","0.044"
"칠레 CLP ","1.49","1.60","1.38","0.00","0.00","0.001"
"터키 TRY ","198.65","0.00","0.00","200.83","196.47","0.168"
"몽골 MNT ","0.43","0.00","0.00","0.00","0.00","0.000"
"이스라엘 ILS ","343.32","377.65","315.86","0.00","0.00","0.290"
"덴마크 DKK ","174.68","178.95","170.41","176.42","172.94","0.147"
"노르웨이 NOK ","129.10","132.26","125.94","130.39","127.81","0.109"
"사우디아라비아 SAR ","315.82","335.71","294.03","318.97","312.67","0.267"
"쿠웨이트 KWD ","3,898.98","4,152.41","3,587.07","3,937.96","3,860.00","3.291"
"바레인 BHD ","3,143.14","3,344.30","2,891.69","3,174.57","3,111.71","2.653"
"아랍에미리트 AED ","322.58","340.32","300.33","325.80","319.36","0.272"
"요르단 JOD ","1,671.23","1,819.96","1,537.54","0.00","0.00","1.410"
"이집트 EGP ","74.99","0.00","0.00","0.00","0.00","0.063"
"태국 THB ","37.90","39.79","35.63","38.27","37.53","0.032"
"싱가포르 SGD ","869.36","886.66","852.06","878.05","860.67","0.734"
"말레이시아 MYR ","289.81","308.06","268.37","0.00","286.92","0.245"
"인도네시아 IDR 100 ","8.70","9.30","7.83","8.78","8.62","0.007"
"카타르 QAR ","325.43","0.00","0.00","0.00","0.00","0.275"
"카자흐스탄 KZT ","3.13","0.00","0.00","0.00","0.00","0.003"
"브루나이 BND ","869.36","904.13","817.20","0.00","0.00","0.734"
"인도 INR ","16.58","0.00","0.00","0.00","0.00","0.014"
"파키스탄 PKR ","7.67","0.00","0.00","0.00","0.00","0.007"
"방글라데시 BDT ","13.96","0.00","0.00","0.00","0.00","0.012"
"필리핀 PHP ","23.25","25.57","21.35","23.48","23.02","0.020"
"멕시코 MXN ","63.27","69.59","57.96","63.90","62.64","0.053"
"브라질 BRL ","280.09","308.65","257.69","0.00","276.73","0.236"
"베트남 VND 100 ","5.11","5.71","4.51","5.16","5.06","0.004"
"남아프리카 공화국 ZAR ","80.91","85.76","74.44","81.88","79.94","0.068"
"러시아 RUB ","18.91","20.23","16.83","19.09","18.73","0.016"
"헝가리 HUF ","3.86","4.21","3.56","3.90","3.82","0.003"
"폴란드 PLN ","304.59","328.95","280.23","307.94","301.24","0.257"
